codigo,nombre,descripcion,marca,cantidad,precio_compra,precio_venta,categoria,subcategoria,ubicacion,proveedor,stock_minimo,unidad_medida
HER001,Martillo de uña 16oz,Martillo con mango de fibra de vidrio,Stanley,25,12.50,18.75,Herramientas,Martillos,A-01,Distribuidora Central,5,unidad
HER002,Destornillador Phillips #2,Destornillador punta Phillips con mango ergonómico,Klein Tools,40,3.20,5.50,Herramientas,Destornilladores,A-02,Herramientas del Norte,10,unidad
HER003,Alicate universal 8",Alicate universal con mango antideslizante,Bahco,18,8.75,14.25,Herramientas,Alicates,A-03,Distribuidora Central,8,unidad
HER004,Llave inglesa 10",Llave inglesa ajustable cromada,Truper,22,11.30,17.90,Herramientas,Llaves,A-04,Truper Distribución,6,unidad
HER005,Taladro eléctrico 1/2",Taladro percutor con cable 650W,Black & Decker,8,45.00,72.00,Herramientas,Taladros,A-05,Electrotools,3,unidad
TOR001,Tornillos autoperforantes 1",Tornillos punta broca cabeza phillips,Phillips,500,0.08,0.15,Tornillería,Autoperforantes,B-01,Tornillos SA,50,unidad
TOR002,Tornillos madera 2" x 8,Tornillos para madera cabeza plana,Nacional,300,0.12,0.22,Tornillería,Madera,B-02,Fijaciones Modernas,40,unidad
TOR003,Tuercas hexagonales 1/4",Tuercas hexagonales galvanizadas,Acero Plus,250,0.05,0.12,Tornillería,Tuercas,B-03,Metales Unidos,30,unidad
TOR004,Arandelas planas 1/4",Arandelas planas galvanizadas,Acero Plus,400,0.03,0.08,Tornillería,Arandelas,B-04,Metales Unidos,50,unidad
TOR005,Pernos hexagonales 1/4" x 2",Pernos hexagonales galvanizados,Industrial,180,0.18,0.32,Tornillería,Pernos,B-05,Fijaciones Modernas,25,unidad
PIN001,Pintura látex blanco 1 galón,Pintura látex lavable interior/exterior,Sherwin Williams,15,18.50,28.90,Pinturas,Látex,C-01,Pinturas Colorex,5,galón
PIN002,Esmalte sintético rojo 1 cuarto,Esmalte sintético brillante para metal,Comex,24,8.75,14.20,Pinturas,Esmalte,C-02,Pinturas del Centro,8,cuarto
PIN003,Thinner estándar 1 litro,Diluyente para pinturas y esmaltes,Quimicos,35,2.80,4.50,Pinturas,Diluyentes,C-03,Químicos Industriales,12,litro
PIN004,Brocha 2" pelo natural,Brocha para pintura con mango de madera,Pincel Pro,20,4.20,7.80,Pinturas,Brochas,C-04,Accesorios Paint,10,unidad
PIN005,Rodillo lana 9",Rodillo con lana natural para látex,Rodillos Max,16,3.50,6.25,Pinturas,Rodillos,C-05,Accesorios Paint,8,unidad
ELE001,Cable THW #12 AWG,Cable cobre sólido 600V,Condumex,500,1.20,2.10,Electricidad,Cables,D-01,Eléctricos Modernos,50,metro
ELE002,Interruptor sencillo blanco,Interruptor 15A 125V color blanco,Leviton,45,2.80,4.90,Electricidad,Interruptores,D-02,Conexiones SA,15,unidad
ELE003,Tomacorriente doble blanco,Tomacorriente 15A 125V polarizado,Leviton,38,3.50,6.20,Electricidad,Tomacorrientes,D-03,Conexiones SA,12,unidad
ELE004,Tubo conduit 1/2" x 3m,Tubo conduit PVC eléctrico,Tigre,60,4.80,8.40,Electricidad,Conduit,D-04,Tuberías Eléctricas,20,pieza
ELE005,Caja rectangular metal,Caja para interruptor metálica,Hubbell,28,1.90,3.45,Electricidad,Cajas,D-05,Conexiones SA,15,unidad
PLO001,Tubería PVC 1/2" x 6m,Tubería presión 315 PSI,Pavco,25,8.90,15.60,Plomería,Tuberías,E-01,Tuberías Hidráulicas,8,pieza
PLO002,Codo PVC 1/2" 90°,Codo presión 90 grados,Pavco,80,0.65,1.25,Plomería,Conexiones,E-02,Tuberías Hidráulicas,25,unidad
PLO003,Llave de paso 1/2",Llave esférica bronce,Foset,12,8.50,15.80,Plomería,Llaves,E-03,Válvulas Técnicas,6,unidad
PLO004,Pegamento PVC 125ml,Cemento solvente para PVC,Tangit,18,3.20,5.90,Plomería,Pegamentos,E-04,Químicos Hidráulicos,8,unidad
